,TCI
2021-12-03,67.60554062483403
2021-12-06,67.81371249275875
2021-12-07,68.14245790326677
2021-12-08,67.52516701156097
2021-12-09,67.42947272062634
2021-12-10,66.67717531693879
2021-12-13,66.28940617506753
2021-12-14,66.07875305751789
2021-12-15,66.2101220247958
2021-12-16,65.64375229114137
2021-12-17,66.10491451785208
2021-12-20,66.44163936321362
2021-12-21,66.64947710960234
2021-12-22,66.83660580937172
2021-12-23,66.96346957567137
2021-12-27,67.18135562543706
2021-12-28,67.28161286370623
2021-12-29,67.40770854726307
2021-12-30,67.19592216216465
2021-12-31,67.24696635791004
2022-01-03,67.00870686273727
2022-01-04,66.88314003831896
2022-01-05,67.44701418772746
2022-01-06,67.43810357249089
2022-01-07,67.21258380819994
2022-01-10,67.1029143575258
2022-01-11,66.96304964558215
2022-01-12,67.11861066525488
2022-01-13,67.26437699896655
2022-01-14,66.95740361673595
2022-01-18,67.66968159126147
2022-01-19,67.70583625636242
2022-01-20,68.01883753978629
2022-01-21,68.31963623082027
2022-01-24,68.33128994390492
2022-01-25,68.40728128094361
2022-01-26,68.4064376090203
2022-01-27,67.99425820076178
2022-01-28,68.42019311864408
2022-01-31,69.09221514033601
2022-02-01,69.08858559390733
2022-02-02,69.00489516960481
2022-02-03,68.94966580284486
2022-02-04,68.84148337746964
2022-02-07,68.86139214828889
2022-02-08,68.80564073110943
2022-02-09,68.96173461778339
2022-02-10,69.38841771327353
2022-02-11,69.69196420434749
2022-02-14,69.6894674733332
2022-02-15,69.65462972943315
2022-02-16,69.7835508537697
2022-02-17,69.77726358302304
2022-02-18,69.7982306554979
2022-02-22,70.0487389303961
2022-02-23,70.18687087019978
2022-02-24,69.27986264201604
2022-02-25,70.14842500385399
2022-02-28,69.6775753810091
2022-03-01,69.61675800108208
2022-03-02,70.22051249358078
2022-03-03,70.00139794678522
2022-03-04,69.56199362941355
2022-03-07,69.58740768867551
2022-03-08,69.34026017404744
2022-03-09,69.30946956700905
2022-03-10,69.14134354420437
2022-03-11,69.32340520484568
2022-03-14,69.06000337583212
2022-03-15,69.35839599739676
2022-03-16,69.25871227644713
2022-03-17,69.44431330046515
2022-03-18,69.39079674305103
2022-03-21,69.38180228491493
2022-03-22,69.4523456805881
2022-03-23,69.54937433651828
2022-03-24,69.6769177141934
2022-03-25,69.76275943446952
2022-03-28,69.8141068724427
2022-03-29,69.92647127338927
2022-03-30,69.8080722400203
2022-03-31,70.0995539458668
2022-04-01,69.58828701697627
2022-04-04,69.30500690664198
2022-04-05,69.37102410107784
2022-04-06,69.04782171094142
2022-04-07,68.84322736300865
2022-04-08,68.67105349806221
2022-04-11,68.86752489183534
2022-04-12,68.74681912876628
2022-04-13,68.86741714726494
2022-04-14,68.92114638759162
2022-04-18,68.85720129918879
2022-04-19,69.02858631666604
2022-04-20,68.76978643429997
2022-04-21,68.75747674974792
2022-04-22,69.36979933806836
2022-04-25,69.3584275516016
2022-04-26,69.90556510108571
2022-04-27,69.60156576277583
2022-04-28,69.82502781837877
2022-04-29,70.77482510667896
2022-05-02,70.29910995531563
2022-05-03,70.28364108130525
2022-05-04,71.28630019666566
2022-05-05,72.16999560983363
2022-05-06,72.01969416848762
2022-05-09,72.80507931973797
2022-05-10,72.82996598365668
2022-05-11,72.79049158594331
2022-05-12,72.68808890814921
2022-05-13,73.22578144952693
2022-05-16,73.16934549135712
2022-05-17,72.99153842770475
2022-05-18,73.47545632227344
2022-05-19,73.44427489276526
2022-05-20,73.38308888537124
2022-05-23,73.63832559619009
2022-05-24,73.46228789670953
2022-05-25,73.50947800163455
2022-05-26,73.57705719044465
2022-05-27,73.8987013503796
2022-05-31,73.93624824173325
2022-06-01,73.929142024914
2022-06-02,74.01791371093111
2022-06-03,74.18001683951604
2022-06-06,74.16362697505211
2022-06-07,74.33737238190675
2022-06-08,74.33478857893743
2022-06-09,74.73060656991734
2022-06-10,75.01872069231842
2022-06-13,76.0707160315231
2022-06-14,76.11627858020171
2022-06-15,75.99078722779346
2022-06-16,76.28029564866003
2022-06-17,76.16316366098815
2022-06-21,76.55180722439314
2022-06-22,76.37547189383291
2022-06-23,76.27889074374585
2022-06-24,76.60335747578819
2022-06-27,76.5845853660938
2022-06-28,76.5622720880383
2022-06-29,76.51766713239572
2022-06-30,76.52485842638774
2022-07-01,76.60887799773177
2022-07-05,76.29822497435916
2022-07-06,76.22502774294998
2022-07-07,76.21003776063662
2022-07-08,76.16999878086214
2022-07-11,76.12360019937952
2022-07-12,76.18611990919393
2022-07-13,76.28633111318123
2022-07-14,76.2390852652968
2022-07-15,76.26348591090047
2022-07-18,76.08591120695594
2022-07-19,76.33228638502631
2022-07-20,76.24859938857294
2022-07-21,76.1774690757102
2022-07-22,76.13461180906272
2022-07-25,76.04285919452359
2022-07-26,76.05263736969825
2022-07-27,76.1215132679802
2022-07-28,76.26452575718926
2022-07-29,76.26541390388212
2022-08-01,76.09484414653825
2022-08-02,76.14889210313454
2022-08-03,76.09034783448216
2022-08-04,76.00966408853206
2022-08-05,75.93635248719278
2022-08-08,75.96949859146824
2022-08-09,75.96215992537154
2022-08-10,76.121621784599
2022-08-11,76.09576720022702
2022-08-12,76.26912136454092
2022-08-15,76.16662733765526
2022-08-16,76.1891312989437
2022-08-17,76.22917001728699
2022-08-18,76.2147556720106
2022-08-19,76.23400821641575
2022-08-22,76.3353659768645
2022-08-23,76.23514439648498
2022-08-24,76.31628755699776
2022-08-25,76.41214983545062
2022-08-26,76.77960533355107
2022-08-29,76.71160289838912
2022-08-30,76.79368439949819
2022-08-31,76.83110537294598
2022-09-01,76.76681894785372
2022-09-02,76.73857783605264
2022-09-06,76.72806810751251
2022-09-07,76.8397234829547
2022-09-08,76.81052587672663
2022-09-09,76.93884732727932
2022-09-12,77.01630580044241
2022-09-13,77.46571594006976
2022-09-14,77.37226320204985
2022-09-15,77.04682450771536
2022-09-16,76.95473586325807
2022-09-19,76.91306692840162
2022-09-20,77.05268649468607
2022-09-21,77.0747674884312
2022-09-22,76.93040091316699
2022-09-23,77.10778453004134
2022-09-26,77.22386791236121
2022-09-27,77.15483796660277
2022-09-28,77.41364550774276
2022-09-29,77.3578505412015
2022-09-30,77.30354928584421
2022-10-03,77.3738595381077
2022-10-04,77.69503064796305
2022-10-05,77.54120688404385
2022-10-06,77.35206004404283
2022-10-07,77.52337357745041
2022-10-10,77.47366867729866
2022-10-11,77.27482136996625
2022-10-12,77.19014945303581
2022-10-13,77.56652859782032
2022-10-14,77.79253478873743
2022-10-17,78.162900643689
2022-10-18,78.3031616379139
2022-10-19,78.32139296871739
2022-10-20,78.32750752791459
2022-10-21,78.39551817617631
2022-10-24,78.4048745604295
2022-10-25,78.5308063440432
2022-10-26,78.46561369122202
2022-10-27,78.33017644967045
2022-10-28,78.42144006101812
2022-10-31,78.45962706992864
2022-11-01,78.42546593874906
2022-11-02,78.59243530328963
2022-11-03,78.45725464532453
2022-11-04,78.5251953380369
2022-11-07,78.4276277269672
2022-11-08,78.51792604929435
2022-11-09,78.75017456847434
2022-11-10,79.42223634765305
2022-11-11,79.22377292292452
2022-11-14,79.24944971394598
2022-11-15,79.26592462067664
2022-11-16,79.2553738305241
2022-11-17,79.27535216332771
2022-11-18,79.28276127099078
2022-11-21,79.25180888626744
2022-11-22,79.30561391834769
2022-11-23,79.24600665085902
2022-11-25,79.10276779085859
2022-11-28,79.24759578091046
2022-11-29,79.21904481169804
2022-11-30,79.29503995295867
2022-12-01,79.27957873116068
2022-12-02,79.26094458537307
2022-12-05,79.40169051575393
2022-12-06,79.43141487935664
2022-12-07,79.39487815768906
2022-12-08,79.47688650539047
2022-12-09,79.41255881406236
2022-12-12,79.46775334530814
2022-12-13,79.56089369616764
2022-12-14,79.484417520937
2022-12-15,79.52455533573963
2022-12-16,79.69199203784679
2022-12-19,79.92841597564798
2022-12-20,80.03260652169821
2022-12-21,80.28550754582433
2022-12-22,80.30738256926885
2022-12-23,80.27399054871019
2022-12-27,80.28516384652224
2022-12-28,80.52905738933823
2022-12-29,80.653297591385
2022-12-30,80.59139374269134
2023-01-03,80.54587175269724
2023-01-04,80.52486029287444
2023-01-05,80.54135494111647
2023-01-06,80.79341245698622
2023-01-09,80.69974259597774
2023-01-10,80.69070223580496
2023-01-11,80.7864348076333
2023-01-12,80.7486266160517
2023-01-13,80.75668040526303
2023-01-17,80.73277586416697
2023-01-18,80.79444252756637
2023-01-19,80.83020312026665
2023-01-20,80.9531413850637
2023-01-23,81.07174083339982
2023-01-24,81.08816538171813
2023-01-25,81.10117199229411
2023-01-26,81.02554284279331
2023-01-27,80.99932536197142
2023-01-30,80.99214709447384
2023-01-31,81.04273079438396
2023-02-01,81.01878562226979
2023-02-02,80.79361242885142
2023-02-03,80.90627776357796
2023-02-06,80.77431821227623
2023-02-07,80.55316778017996
